epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,3987.85,0.66639,1.08499,0.72353,1.21684,0.90551,0.75735,0.82486,0.60754,0.87374,0.72794,0.77744,0.51462,1.04144,2.8257,1.10365,1.68128,0.00104171,0.00104171,0.00104171
65,3996.56,0.71835,1.11542,0.7529,1.2562,0.84539,0.72794,0.74475,0.56489,0.81438,0.69853,0.69593,0.50805,1.13846,2.83586,1.05296,1.87666,0.00104061,0.00104061,0.00104061
66,4004.94,0.66,1.05477,0.682,1.20016,0.83494,0.69853,0.79434,0.62175,0.81789,0.65441,0.72699,0.5207,1.02376,2.771,1.1459,1.67172,0.00103951,0.00103951,0.00103951
67,4013.51,0.62827,1.02714,0.67542,1.20454,0.79838,0.68582,0.7708,0.59279,0.78623,0.66912,0.7127,0.54992,1.00731,3.0873,1.26779,1.61666,0.00103841,0.00103841,0.00103841
68,4022.17,0.66022,1.11441,0.67412,1.22246,0.77453,0.71748,0.74021,0.59724,0.75643,0.69853,0.70917,0.55157,1.07958,3.01087,1.43308,1.72424,0.00103731,0.00103731,0.00103731
69,4030.86,0.64562,1.12795,0.65791,1.18551,0.86134,0.7406,0.8043,0.64254,0.82803,0.66538,0.74149,0.54038,0.97432,2.87628,1.4359,1.62468,0.00103621,0.00103621,0.00103621
70,4039.51,0.57943,0.96825,0.62231,1.14668,0.89185,0.74265,0.84337,0.65279,0.85888,0.71324,0.77456,0.54946,0.91645,2.96391,1.18906,1.5164,0.00103511,0.00103511,0.00103511
71,4048.3,0.6324,1.10687,0.69851,1.17969,0.87168,0.70745,0.78977,0.61696,0.86382,0.69853,0.74655,0.54365,0.9776,2.87689,1.31516,1.58495,0.00103401,0.00103401,0.00103401
72,4056.99,0.57757,0.98439,0.60858,1.15749,0.86662,0.73352,0.79793,0.66157,0.83366,0.70431,0.75701,0.58271,0.92752,3.123,1.37849,1.55471,0.00103291,0.00103291,0.00103291
73,4065.55,0.60703,0.9819,0.62915,1.16859,0.87318,0.7541,0.80797,0.6335,0.84145,0.72484,0.75161,0.55493,0.90318,2.82728,1.3316,1.55189,0.00103181,0.00103181,0.00103181
74,4074.28,0.63528,1.11294,0.66396,1.19791,0.81868,0.76194,0.788,0.61999,0.78186,0.69669,0.71105,0.53145,0.90149,3.33854,1.3458,1.56568,0.00103071,0.00103071,0.00103071
75,4082.75,0.58569,1.02658,0.61963,1.15755,0.84867,0.72461,0.81702,0.63529,0.82804,0.71191,0.75344,0.52242,0.9212,3.22603,1.24517,1.52229,0.00102961,0.00102961,0.00102961
76,4091.64,0.62708,1.11534,0.627,1.18387,0.89706,0.72136,0.79332,0.62533,0.82038,0.66146,0.72041,0.5028,0.92079,3.00181,1.1631,1.45645,0.00102851,0.00102851,0.00102851
77,4100.72,0.6381,0.96265,0.69009,1.18359,0.82882,0.69786,0.78574,0.66469,0.73045,0.73615,0.75639,0.53669,0.852,2.98946,1.1646,1.40835,0.00102741,0.00102741,0.00102741
78,4109.86,0.60374,1.01629,0.65398,1.16278,0.79942,0.69644,0.74857,0.63393,0.7807,0.68185,0.70497,0.55071,0.89248,3.37668,1.21822,1.52979,0.00102631,0.00102631,0.00102631
79,4119.17,0.59739,0.97532,0.61644,1.15366,0.92393,0.75916,0.84932,0.6799,0.90798,0.74467,0.82638,0.59679,0.92,2.65454,1.02747,1.51567,0.00102521,0.00102521,0.00102521
80,4128.24,0.57417,0.93521,0.6018,1.12941,0.87618,0.79375,0.84975,0.64988,0.84884,0.76316,0.79273,0.5877,1.01291,2.6148,0.98828,1.61311,0.00102411,0.00102411,0.00102411
81,4137.32,0.60311,0.98214,0.61311,1.15594,0.89104,0.68193,0.82436,0.64476,0.84551,0.65312,0.74618,0.54469,0.97962,2.88503,1.07011,1.57522,0.00102301,0.00102301,0.00102301
82,4146.65,0.63831,1.08524,0.67814,1.21064,0.76997,0.80515,0.83656,0.65231,0.73324,0.77574,0.79123,0.54743,0.98456,2.87008,1.05726,1.62588,0.00102191,0.00102191,0.00102191
83,4155.84,0.63613,1.06955,0.66543,1.17414,0.79712,0.83456,0.84684,0.64849,0.76879,0.80515,0.80305,0.54592,0.96691,2.93534,1.05922,1.60899,0.00102081,0.00102081,0.00102081
84,4164.89,0.5961,1.00485,0.63062,1.13518,0.89987,0.74265,0.82886,0.62394,0.83463,0.68382,0.74008,0.5245,1.11468,3.20131,1.26561,1.75599,0.00101971,0.00101971,0.00101971
85,4174.02,0.58991,0.98145,0.6202,1.14623,0.93019,0.76731,0.86389,0.66175,0.90155,0.66612,0.73827,0.54251,0.99496,2.90208,1.03056,1.61933,0.00101861,0.00101861,0.00101861
86,4183.17,0.64117,0.97777,0.62768,1.1861,0.90664,0.69451,0.80408,0.62411,0.86937,0.66547,0.73267,0.55965,1.04555,3.13118,1.37082,1.68445,0.00101751,0.00101751,0.00101751
87,4192.4,0.60925,0.90056,0.63544,1.17634,0.90762,0.71324,0.82829,0.63294,0.85089,0.66912,0.76523,0.57545,1.0108,3.36628,1.22539,1.65339,0.00101641,0.00101641,0.00101641
