epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,518.962,1.74646,2.75659,2.32981,2.40317,0.3104,0.45808,0.33806,0.13559,0.65584,0.24643,0.19566,0.08664,2.06419,4.27241,2.98135,2.95635,0.00104391,0.00104391,0.00104391
63,527.206,1.76531,2.9741,2.29607,2.39816,0.23984,0.55759,0.35653,0.17114,0.17318,0.43811,0.27564,0.14949,1.8095,3.05924,2.64525,2.54148,0.00104281,0.00104281,0.00104281
64,535.287,1.73667,2.82967,2.33635,2.33425,0.4472,0.54126,0.4477,0.21828,0.32215,0.45221,0.29489,0.16407,1.73547,3.06956,2.41904,2.50307,0.00104171,0.00104171,0.00104171
65,543.619,1.73806,2.84812,2.26407,2.35874,0.43123,0.52941,0.45926,0.21212,0.33006,0.42279,0.29205,0.17071,1.88436,3.24011,2.43607,2.6332,0.00104061,0.00104061,0.00104061
66,551.953,1.64022,2.72048,2.18124,2.25254,0.43864,0.42831,0.4464,0.18503,0.3229,0.3364,0.29335,0.13133,1.83843,3.42293,3.11683,2.60548,0.00103951,0.00103951,0.00103951
67,560.339,1.62508,2.66712,2.21902,2.22922,0.47236,0.45221,0.47119,0.22404,0.41713,0.37684,0.35032,0.15176,1.95487,3.80349,2.31377,2.7599,0.00103841,0.00103841,0.00103841
68,568.686,1.62474,2.67956,2.14901,2.22751,0.51055,0.51928,0.46905,0.19598,0.37111,0.38955,0.28538,0.14094,1.70515,3.67852,2.74977,2.58252,0.00103731,0.00103731,0.00103731
69,576.911,1.65498,2.80948,2.13072,2.24994,0.521,0.54739,0.5207,0.2551,0.49322,0.47959,0.47592,0.23169,1.88699,3.11636,2.41667,2.78043,0.00103621,0.00103621,0.00103621
70,585.328,1.57051,2.56994,2.0647,2.15338,0.4805,0.53075,0.47123,0.24072,0.46753,0.45221,0.46928,0.22343,1.76362,3.23977,2.35808,2.57703,0.00103511,0.00103511,0.00103511
71,593.678,1.54842,2.62494,2.0618,2.15243,0.55968,0.61792,0.62289,0.29342,0.41089,0.46814,0.44527,0.22689,1.82,3.18693,2.08907,2.57159,0.00103401,0.00103401,0.00103401
72,601.998,1.52868,2.60411,2.0048,2.13695,0.5611,0.45398,0.57699,0.27067,0.44818,0.39915,0.4343,0.22043,1.6942,2.95634,2.36815,2.4395,0.00103291,0.00103291,0.00103291
73,610.239,1.56287,2.68857,2.03736,2.21707,0.58237,0.38971,0.54795,0.27033,0.34291,0.26838,0.40602,0.22193,1.55022,2.8529,2.31266,2.36558,0.00103181,0.00103181,0.00103181
74,618.693,1.53789,2.53999,2.00417,2.15889,0.3557,0.22875,0.44494,0.21494,0.25004,0.19118,0.34321,0.17533,1.81023,3.38153,2.42709,2.76831,0.00103071,0.00103071,0.00103071
75,627.047,1.51633,2.56904,2.0277,2.14937,0.5563,0.33272,0.44992,0.19265,0.34404,0.19485,0.29445,0.1528,2.12809,4.71171,2.69604,2.99565,0.00102961,0.00102961,0.00102961
76,635.14,1.51756,2.51985,2.00041,2.13754,0.58279,0.55699,0.59262,0.30546,0.4359,0.45037,0.48126,0.27153,1.79736,3.00194,2.04397,2.60417,0.00102851,0.00102851,0.00102851
77,643.424,1.51797,2.54155,2.02507,2.09236,0.52586,0.45404,0.51682,0.2815,0.49901,0.43934,0.46574,0.23064,1.94632,3.43243,2.26841,2.84113,0.00102741,0.00102741,0.00102741
